names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,Avg,Average_crimes,District
"Sartų g., 2 rooms flat for rent",500.0,14.3,35.0,2,2000.0,Brick,Fully equipped,"Aerothermal, gas",nan,23,16.3, Dainava
"V. Putvinskio g., 2 rooms flat for rent",840.0,16.5,51.0,2,2020.0,Monolithic,Fully equipped,"Aerothermal, sun energy",nan,23,21.2, Centras
"Šiaurės pr., 2 rooms flat for rent",450.0,8.7,52.0,2,1980.0,Block house,Fully equipped,Central,nan,23,8.7, Eiguliai
"Pietų g., 2 rooms flat for rent",520.0,10.4,50.0,2,1994.0,Brick,Fully equipped,Central,32.50,23,13.3, Gričiupis
"Šiaurės pr., 1 room flat for rent",350.0,9.5,37.0,1,1979.0,Block house,Fully equipped,Central,34.41,23,12.5, Eiguliai
"A. Smetonos al., 1 room flat for rent",437.0,14.6,30.0,1,,Brick,Fully equipped,Central thermostat,43.80,23,3.0, Panemunė
"V. Krėvės pr., 1 room flat for rent",400.0,12.1,33.0,1,1971.0,Block house,Fully equipped,"Central, electric",35.97,23,20.8, Dainava
"Neries krant., 2 rooms flat for rent",490.0,10.9,44.85,2,1996.0,Block house,Fully equipped,Central,nan,23,10.9, Vilijampolė
"Kuršių g., 1 room flat for rent",400.0,10.6,37.88,1,1988.0,Block house,Fully equipped,Central,37.12,23,5.6, Šilainiai
"Sodų g., 1 room flat for rent",300.0,15.0,20.0,1,1957.0,Brick,Fully equipped,"Electric, other",nan,23,7.4, Žemieji Šančiai
"Taikos pr., 1 room flat for rent",550.0,20.0,27.47,1,2024.0,Brick,Fully equipped,Electric,nan,23,9.0, Dainava
"H. ir O. Minkovskių g., 2 rooms flat for rent",1100.0,20.0,55.0,2,2023.0,Brick,Fully equipped,Central thermostat,nan,23,1.2, Aleksotas
"Panerių g., 2 rooms flat for rent",530.0,13.3,40.0,2,,Brick,Fully equipped,Central,18.40,23,9.5, Vilijampolė
